,file_name,length,sample rate,file_size
0,WWNP-HQ_20190218_174728.wav,3.006666666666667,384000,2.311746
1,WWNP-HQ_20190218_174806.wav,4.201333333333333,384000,3.22925
2,WWNP-HQ_20190218_174812.wav,7.121333333333333,384000,5.47181
3,WWNP-HQ_20190218_174855.wav,5.18,384000,3.980866
4,WWNP-HQ_20190218_175049.wav,3.004,384000,2.309698
5,WWNP-HQ_20190218_175319.wav,5.782666666666667,384000,4.443714
6,WWNP-HQ_20190218_175544.wav,3.046666666666667,384000,2.342466
7,WWNP-HQ_20190218_175828.wav,6.216,384000,4.776514
8,WWNP-HQ_20190218_175933.wav,3.453333333333333,384000,2.654786
9,WWNP-HQ_20190218_184844.wav,7.049333333333333,384000,5.416514
10,WWNP-HQ_20190218_184910.wav,5.576,384000,4.284994
11,WWNP-HQ_20190218_185906.wav,5.1946666666666665,384000,3.99213
12,WWNP-HQ_20190218_190625.wav,7.518666666666666,384000,5.776962
13,WWNP-HQ_20190218_190818.wav,11.212,384000,8.613442
14,WWNP-HQ_20190218_192937.wav,5.993333333333333,384000,4.605506
15,WWNP-HQ_20190218_193000.wav,3.014666666666667,384000,2.31789
16,WWNP-HQ_20190218_194535.wav,3.152,384000,2.423362
17,WWNP-HQ_20190218_201038.wav,7.198666666666667,384000,5.531202
18,WWNP-HQ_20190218_201257.wav,15.0,384000,11.522626
19,WWNP-HQ_20190218_201322.wav,4.1786666666666665,384000,3.211842
20,WWNP-HQ_20190218_201328.wav,7.514666666666667,384000,5.77389
21,WWNP-HQ_20190218_203128.wav,5.969333333333333,384000,4.587074
22,WWNP-HQ_20190218_203306.wav,5.150666666666667,384000,3.958338
23,WWNP-HQ_20190218_204509.wav,6.069333333333334,384000,4.663874
24,WWNP-HQ_20190218_204517.wav,9.945333333333334,384000,7.640642
25,WWNP-HQ_20190218_204924.wav,5.616,384000,4.315714
26,WWNP-HQ_20190218_210037.wav,8.992,384000,6.908482
27,WWNP-HQ_20190218_210049.wav,3.6813333333333333,384000,2.82989
28,WWNP-HQ_20190218_211700.wav,4.78,384000,3.673666
29,WWNP-HQ_20190218_211847.wav,7.030666666666667,384000,5.402178
30,WWNP-HQ_20190218_212108.wav,6.54,384000,5.025346
31,WWNP-HQ_20190218_212801.wav,7.014666666666667,384000,5.38989
32,WWNP-HQ_20190218_215920.wav,5.14,384000,3.950146
33,WWNP-HQ_20190218_220003.wav,4.824,384000,3.707458
34,WWNP-HQ_20190218_220020.wav,4.709333333333333,384000,3.619394
35,WWNP-HQ_20190218_220116.wav,3.308,384000,2.54317
36,WWNP-HQ_20190218_220131.wav,4.833333333333333,384000,3.714626
37,WWNP-HQ_20190218_220436.wav,3.1613333333333333,384000,2.43053
38,WWNP-HQ_20190218_220902.wav,7.350666666666666,384000,5.647938
39,WWNP-HQ_20190218_221256.wav,3.036,384000,2.334274
40,WWNP-HQ_20190218_221719.wav,4.462666666666666,384000,3.429954
41,WWNP-HQ_20190218_221725.wav,3.4106666666666667,384000,2.622018
42,WWNP-HQ_20190218_221851.wav,7.132,384000,5.480002
43,WWNP-HQ_20190218_222136.wav,3.1213333333333333,384000,2.39981
44,WWNP-HQ_20190218_222312.wav,3.108,384000,2.38957
45,WWNP-HQ_20190218_222359.wav,3.8373333333333335,384000,2.949698
46,WWNP-HQ_20190218_222404.wav,12.758666666666667,384000,9.801282
47,WWNP-HQ_20190218_223022.wav,8.406666666666666,384000,6.458946
48,WWNP-HQ_20190218_223037.wav,7.296,384000,5.605954
49,WWNP-HQ_20190218_223158.wav,5.509333333333333,384000,4.233794
50,WWNP-HQ_20190218_223216.wav,3.1306666666666665,384000,2.406978
51,WWNP-HQ_20190218_224947.wav,7.205333333333333,384000,5.536322
52,WWNP-HQ_20190218_225743.wav,3.464,384000,2.662978
53,WWNP-HQ_20190218_230718.wav,5.196,384000,3.993154
54,WWNP-HQ_20190218_233215.wav,6.410666666666667,384000,4.926018
